country_name,country_code,region,income_level,lending_type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Lesotho,LSO,Sub-Saharan Africa ,Lower middle income,IDA,1121.19851342518,992.491840678465,1069.36673247542,1170.65569702819,1082.05706777516,918.582574704447,1066.58645143823,1030.12582947757,916.282976983803,971.90771824829
Liberia,LBR,Sub-Saharan Africa ,Low income,IDA,692.590082351257,714.613063145659,699.269095727404,692.203127129794,658.164180770507,616.787867006715,667.96610514319,744.617175237387,799.194470229642,851.497723870206
Libya,LBY,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,7458.48917756374,7525.80299308216,9965.83236729757,11196.5854810844,9963.19489084483,6650.33810585348,4935.82787349801,5986.63694851258,6026.51518708812,6569.16408678648
Liechtenstein,LIE,Europe & Central Asia,High income,Not classified,167187.15730982,165375.491396259,170547.092298954,174988.775083446,166907.839305016,164671.093553454,201944.830335076,188055.003235348,206780.590353385,
Lithuania,LTU,Europe & Central Asia,High income,Not classified,14269.8039878287,14934.2702840428,16800.1510246099,19247.2315367967,19608.7943945553,20428.6478157394,23870.4594851722,25085.784063499,27786.0057829276,29384.0189598663
Luxembourg,LUX,Europe & Central Asia,High income,Not classified,105462.012584423,106899.293549552,110193.213797228,116926.759593905,112696.649059674,116860.02817236,134965.815442152,123719.658915996,133230.619178899,137781.681659123
"Macao SAR, China",MAC,East Asia & Pacific,High income,Not classified,69902.9605741233,68911.6755919628,77570.9876166977,83588.2875009014,81882.6964523869,36883.6652578543,44884.8961602393,36806.891255461,67216.3631112124,72004.7437020733
Madagascar,MDG,Sub-Saharan Africa ,Low income,IDA,445.320069480568,453.970714522463,491.866848718929,500.45718552916,499.818837622534,450.771615201509,483.469463351195,503.51453347296,508.718427705591,544.987501003384
Malawi,MWI,Sub-Saharan Africa ,Low income,IDA,539.605363240686,450.506105510719,495.769683367165,533.202567189331,580.889139762475,602.507478176106,617.446994451007,604.269740360317,633.214767978695,522.570393642547
Malaysia,MYS,East Asia & Pacific,Upper middle income,IBRD,9648.6797937523,9476.53409809923,9862.54806612235,10901.8019954421,10920.191763972,9957.52626697613,10903.1037480772,11754.5678336248,11386.0395636528,11874.4273684245
Maldives,MDV,South Asia,Upper middle income,IDA,9644.90655028145,9947.80744731739,10509.628805812,11423.2838427029,11740.2724029785,7393.8886543933,10176.143882547,11786.0191492983,12587.6126038651,13379.3513577224
Mali,MLI,Sub-Saharan Africa ,Low income,IDA,838.11986940103,872.468587171653,924.057531692284,996.379292136901,971.949318638092,953.242943290974,1027.27345365357,976.914116406452,1043.9533853528,1094.61949265799
Malta,MLT,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,25529.6813337717,26459.0770929988,30317.2443175543,33382.2677499267,32421.9179752262,31823.4363934505,38096.8360735119,35638.8869457406,40905.8059585057,43898.5781808597
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,IDA,3764.34426229508,4229.80988911945,4592.83457628576,4858.12079054875,5292.33985502306,5661.96787336674,6315.31279603534,6455.66062185762,6793.24495895856,7726.33668877794
Mauritania,MRT,Sub-Saharan Africa ,Lower middle income,IDA,1554.94897871782,1565.76575722696,1615.00401327323,1722.93528854073,1767.072710621,1795.76459566714,1947.78918383313,1960.35240077424,2135.78187606359,2110.12036938187
Mauritius,MUS,Sub-Saharan Africa ,Upper middle income,IBRD,9630.5437837507,10095.1225574156,10986.7034093005,11818.7480619272,11568.2533399824,9135.84773751062,9177.71195973013,10246.5017455553,11269.9684462139,11990.7798944837
